id,procedure_name,category,step_number,description,safety_requirement,responsible_person,completion_time,status
1,飞行前检查,预飞准备,1,检查无人机外观是否有损坏,确保无人机结构完整,飞行员,5分钟,active
2,飞行前检查,预飞准备,2,检查电池电量和连接,电池电量不低于80%,飞行员,3分钟,active
3,飞行前检查,预飞准备,3,检查遥控器信号连接,确保信号强度良好,飞行员,2分钟,active
4,飞行前检查,预飞准备,4,检查GPS信号状态,GPS信号不少于6颗卫星,飞行员,3分钟,active
5,起飞程序,飞行操作,1,确认飞行区域安全,半径50米内无人员和障碍物,安全员,2分钟,active
6,起飞程序,飞行操作,2,启动无人机系统,按标准启动流程操作,飞行员,1分钟,active
7,起飞程序,飞行操作,3,执行起飞操作,缓慢垂直起飞至安全高度,飞行员,2分钟,active
8,飞行中监控,飞行操作,1,持续监控飞行状态,实时关注电量、信号、高度,飞行员,持续,active
9,飞行中监控,飞行操作,2,保持视距内飞行,无人机始终在视线范围内,飞行员,持续,active
10,降落程序,飞行操作,1,选择安全降落点,确保降落区域平整无障碍,飞行员,1分钟,active
11,降落程序,飞行操作,2,执行降落操作,缓慢垂直降落,飞行员,2分钟,active
12,飞行后检查,后续处理,1,关闭无人机系统,按标准关机流程操作,飞行员,1分钟,active
13,飞行后检查,后续处理,2,检查设备状态,记录飞行时间和异常情况,飞行员,5分钟,active
14,数据处理,后续处理,1,下载飞行数据,备份重要飞行记录,数据员,10分钟,active
15,设备维护,后续处理,1,清洁设备表面,使用专用清洁工具,维护员,15分钟,active
